Execution Number,Crime Type,Sentiment Score,Cluster Label
154,murder,0.9623,2 (murder)
264,,-0.7698,"1 (drug, burglary, fraud)"
292,,0.9944,"1 (drug, burglary, fraud)"
299,murder,-0.1164,2 (murder)
3,,0.985,"1 (drug, burglary, fraud)"
301,murder,-0.9692,2 (murder)
322,robbery,-0.8773,3 (robbery)
336,murder,0.9887,2 (murder)
338,murder,0.8895,2 (murder)
343,murder,0.9819,2 (murder)
346,assault,-0.25,4 (assault)
355,drug,0.9839,"1 (drug, burglary, fraud)"
359,,0.9741,"1 (drug, burglary, fraud)"
369,murder,0.7316,2 (murder)
374,assault,0.9584,4 (assault)
376,,0.9648,"1 (drug, burglary, fraud)"
383,,0.9423,"1 (drug, burglary, fraud)"
384,murder,0.9846,2 (murder)
387,,0.0,"1 (drug, burglary, fraud)"
392,robbery,0.8481,3 (robbery)
397,murder,0.9931,2 (murder)
405,,0.8126,"1 (drug, burglary, fraud)"
410,,0.8884,"1 (drug, burglary, fraud)"
413,,0.9816,"1 (drug, burglary, fraud)"
414,murder,0.9652,2 (murder)
415,rape,0.9944,5 (rape)
423,assault,0.9869,4 (assault)
424,murder,0.967,2 (murder)
425,,0.9827,"1 (drug, burglary, fraud)"
427,,-0.9277,"1 (drug, burglary, fraud)"
429,,0.975,"1 (drug, burglary, fraud)"
438,robbery,0.9912,3 (robbery)
445,,0.936,"1 (drug, burglary, fraud)"
452,,0.9736,"1 (drug, burglary, fraud)"
455,,0.9987,"1 (drug, burglary, fraud)"
456,robbery,0.5994,3 (robbery)
457,,0.9981,"1 (drug, burglary, fraud)"
458,murder,0.998,2 (murder)
463,robbery,-0.296,3 (robbery)
465,murder,-0.8038,2 (murder)
470,,0.9952,"1 (drug, burglary, fraud)"
473,murder,0.6369,2 (murder)
474,,0.7093,"1 (drug, burglary, fraud)"
476,murder,0.989,2 (murder)
478,assault,0.9287,4 (assault)
480,murder,0.9017,2 (murder)
482,,0.9886,"1 (drug, burglary, fraud)"
486,,0.9985,"1 (drug, burglary, fraud)"
490,,0.0,"1 (drug, burglary, fraud)"
492,assault,0.9908,4 (assault)
495,murder,0.9601,2 (murder)
496,murder,-0.8979,2 (murder)
498,,-0.9503,"1 (drug, burglary, fraud)"
499,,0.9837,"1 (drug, burglary, fraud)"
500,rape,0.9681,5 (rape)
501,,0.9382,"1 (drug, burglary, fraud)"
502,,0.9307,"1 (drug, burglary, fraud)"
